developer_source,developer_target,interaction_type,repo,weight,timestamp
riley_king,casey_hall,pull_request,devops-infrastructure,7,2025-03-11 07:12:44.255449
alice_martinez,frank_smith,code_review,frontend-react-app,7,2024-12-12 07:12:44.255449
quinn_miller,tina_moore,pull_request,data-analytics-pipeline,1,2025-05-19 07:12:44.255449
grace_kim,henry_brown,merge_request,auth-microservice,2,2024-12-17 07:12:44.255449
frank_smith,henry_brown,code_review,notification-system,5,2025-04-16 07:12:44.255449
jack_davis,frank_smith,merge_request,auth-microservice,2,2025-04-03 07:12:44.255449
quinn_miller,rosa_lopez,pull_request,data-analytics-pipeline,5,2025-06-02 07:12:44.255449
henry_brown,frank_smith,issue_comment,backend-api-service,3,2025-02-13 07:12:44.255449
frank_smith,jack_davis,issue_comment,backend-api-service,8,2025-04-14 07:12:44.255449
rosa_lopez,quinn_miller,pull_request,ml-recommendation-engine,6,2025-02-23 07:12:44.255449
charlie_chen,diana_rodriguez,commit_review,frontend-react-app,6,2025-02-03 07:12:44.255449
kate_anderson,liam_garcia,issue_comment,mobile-flutter-app,4,2025-02-22 07:12:44.255449
grace_kim,frank_smith,commit_review,backend-api-service,1,2025-02-12 07:12:44.255449
frank_smith,jack_davis,commit_review,backend-api-service,3,2025-05-13 07:12:44.255449
maya_thompson,peter_jackson,commit_review,mobile-flutter-app,1,2025-03-02 07:12:44.255449
rosa_lopez,quinn_miller,code_review,data-analytics-pipeline,1,2025-03-29 07:12:44.255449
sam_williams,peter_jackson,merge_request,data-analytics-pipeline,5,2025-04-18 07:12:44.255449
eve_johnson,frank_smith,commit_review,frontend-react-app,1,2025-03-19 07:12:44.255449
frank_smith,liam_garcia,merge_request,auth-microservice,8,2025-04-04 07:12:44.255449
casey_hall,sam_williams,merge_request,devops-infrastructure,6,2025-05-15 07:12:44.255449
quinn_miller,peter_jackson,issue_comment,ml-recommendation-engine,1,2024-12-21 07:12:44.255449
liam_garcia,henry_brown,issue_comment,auth-microservice,5,2024-12-28 07:12:44.255449
sam_williams,rosa_lopez,merge_request,data-analytics-pipeline,3,2025-01-05 07:12:44.255449
kate_anderson,ida_taylor,pull_request,notification-system,3,2025-04-30 07:12:44.255449
sam_williams,quinn_miller,issue_comment,data-analytics-pipeline,1,2025-04-29 07:12:44.255449
jordan_lewis,morgan_young,code_review,devops-infrastructure,8,2025-02-05 07:12:44.255449
henry_brown,kate_anderson,code_review,auth-microservice,5,2025-05-15 07:12:44.255449
eve_johnson,diana_rodriguez,pull_request,frontend-react-app,1,2025-02-10 07:12:44.255449
ida_taylor,kate_anderson,issue_comment,auth-microservice,4,2025-01-22 07:12:44.255449
bob_wilson,eve_johnson,commit_review,frontend-react-app,2,2024-12-10 07:12:44.255449
henry_brown,frank_smith,merge_request,notification-system,3,2025-01-28 07:12:44.255449
kate_anderson,ida_taylor,issue_comment,backend-api-service,6,2025-01-27 07:12:44.255449
peter_jackson,kate_anderson,code_review,mobile-flutter-app,3,2025-02-05 07:12:44.255449
rosa_lopez,sam_williams,code_review,data-analytics-pipeline,2,2025-03-02 07:12:44.255449
rosa_lopez,quinn_miller,commit_review,data-analytics-pipeline,8,2025-03-26 07:12:44.255449
sam_williams,rosa_lopez,issue_comment,data-analytics-pipeline,7,2025-04-20 07:12:44.255449
bob_wilson,frank_smith,commit_review,frontend-react-app,6,2025-05-15 07:12:44.255449
kate_anderson,liam_garcia,merge_request,backend-api-service,7,2025-01-29 07:12:44.255449
diana_rodriguez,eve_johnson,pull_request,frontend-react-app,3,2025-03-08 07:12:44.255449
riley_king,morgan_young,pull_request,devops-infrastructure,2,2025-01-12 07:12:44.255449
tina_moore,morgan_young,merge_request,devops-infrastructure,2,2025-04-26 07:12:44.255449
jack_davis,grace_kim,pull_request,auth-microservice,6,2025-03-12 07:12:44.255449
jack_davis,grace_kim,commit_review,auth-microservice,5,2025-04-26 07:12:44.255449
tina_moore,quinn_miller,pull_request,data-analytics-pipeline,4,2025-01-14 07:12:44.255449
jack_davis,grace_kim,pull_request,notification-system,1,2025-04-20 07:12:44.255449
sam_williams,quinn_miller,issue_comment,ml-recommendation-engine,3,2025-01-19 07:12:44.255449
eve_johnson,bob_wilson,issue_comment,frontend-react-app,5,2025-04-16 07:12:44.255449
jack_davis,liam_garcia,commit_review,backend-api-service,3,2025-05-06 07:12:44.255449
noah_white,liam_garcia,code_review,mobile-flutter-app,8,2025-03-27 07:12:44.255449
tina_moore,peter_jackson,issue_comment,data-analytics-pipeline,7,2025-05-23 07:12:44.255449
eve_johnson,charlie_chen,pull_request,frontend-react-app,8,2025-02-23 07:12:44.255449
ida_taylor,jack_davis,pull_request,backend-api-service,1,2025-04-01 07:12:44.255449
peter_jackson,maya_thompson,pull_request,mobile-flutter-app,1,2024-12-21 07:12:44.255449
morgan_young,casey_hall,code_review,devops-infrastructure,4,2025-04-10 07:12:44.255449
alice_martinez,charlie_chen,commit_review,frontend-react-app,7,2024-12-29 07:12:44.255449
tina_moore,rosa_lopez,commit_review,data-analytics-pipeline,7,2025-05-06 07:12:44.255449
morgan_young,sam_williams,issue_comment,devops-infrastructure,1,2024-12-14 07:12:44.255449
sam_williams,riley_king,code_review,devops-infrastructure,8,2025-01-16 07:12:44.255449
diana_rodriguez,frank_smith,issue_comment,frontend-react-app,2,2025-03-05 07:12:44.255449
frank_smith,kate_anderson,pull_request,auth-microservice,8,2025-04-15 07:12:44.255449
